authors,title,year,volume,issue,start_page,end_page,citations,q75_citations,prop_rank,omit,statistical,individual,population,community,ecosystem,spatial,validation_selection,tools_practices
"Rigg, GB",Some factors in evergreenness in the puget sound region,1921,2,1,37,46,4,6,0.581081081,keep,no,NA,NA,NA,NA,NA,NA,NA
"Korstian, CF",Effect of a late spring frost upon forest vegetation in the wasatch mountains of utah,1921,2,1,47,52,18,6,0.918918919,keep,no,NA,NA,NA,NA,NA,NA,NA
"Barney, RL; Anson, BJ","Seasonal abundance of the mosquito destroying top-minnow, gambusia affinis, especially in relation to male frequency",1921,2,1,53,69,22,6,0.9459459459459459,keep,no,NA,NA,NA,NA,NA,NA,NA
"Walker, B",The life of the pleistoceni or glacial period,1921,2,1,73,75,0,6,0.10810810810810811,omit,no,NA,NA,NA,NA,NA,NA,NA
"Taylor, WP","Lake maxinkuckee, a physical and biological survey",1921,2,1,311,313,0,6,0.10810810810810811,omit,no,NA,NA,NA,NA,NA,NA,NA
"Mann, A",The dependence of the fishes on the diatoms,1921,2,2,79,83,5,6,0.7027027027027027,keep,no,NA,NA,NA,NA,NA,NA,NA
"Michael, EL; Allen, WE",Problems of marine ecology,1921,2,2,84,88,3,6,0.4594594594594595,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wheeler, WM",A new case of parabiosis and the ant gardens of british guiana,1921,2,2,89,103,39,6,1,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",The dust of the upper air,1921,2,2,104,109,2,6,0.3783783783783784,keep,no,NA,NA,NA,NA,NA,NA,NA
"McHargue, JS",Some points of interest concerning the cocklebur and its seeds,1921,2,2,110,119,4,6,0.581081081,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shull, CA",Some changes in the vegetation of western kentucky,1921,2,2,120,124,1,6,0.2702702702702703,keep,no,NA,NA,NA,NA,NA,NA,NA
"Hansen, AA",The terminology of the ultimate vegetation,1921,2,2,125,126,4,6,0.581081081,keep,no,NA,NA,NA,NA,NA,NA,NA
"Hofmann, JV",Adaptation in douglas fir,1921,2,2,127,131,0,6,0.10810810810810811,keep,no,NA,NA,NA,NA,NA,NA,NA
"Ekblaw, WE",The ecological relations of the polar eskimo,1921,2,2,132,144,2,6,0.3783783783783784,keep,no,NA,NA,NA,NA,NA,NA,NA
"Waller, AE",A new attack on problems of ecology,1921,2,2,145,149,0,6,0.10810810810810811,omit,no,NA,NA,NA,NA,NA,NA,NA
"Braun, EL",Composition and source of the flora of the cincinnati region,1921,2,3,161,180,4,6,0.581081081,keep,no,NA,NA,NA,NA,NA,NA,NA
"Clements, FE",Drouth periods and climatic cycles,1921,2,3,181,188,7,6,0.7837837837837838,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shaw, WT",Moisture and altitude as factors in determining the seasonal activities of the townsend ground squirrel in washington,1921,2,3,189,192,4,6,0.581081081,keep,no,NA,NA,NA,NA,NA,NA,NA
"Bird, H",Soil acidity in relation to insects and plants,1921,2,3,193,197,1,6,0.2702702702702703,keep,no,NA,NA,NA,NA,NA,NA,NA
"Satterthwait, AF",Notes on the food plants and distribution of certain billbugs,1921,2,3,198,210,0,6,0.10810810810810811,keep,no,NA,NA,NA,NA,NA,NA,NA
"Kern, FD",Observations of the dissemination of the barberry,1921,2,3,211,214,6,6,0.7567567567567568,keep,no,NA,NA,NA,NA,NA,NA,NA
"Allen, WE",The investigation of ocean pasturage,1921,2,3,215,219,1,6,0.2702702702702703,keep,no,NA,NA,NA,NA,NA,NA,NA
"Geiser, SW",Notes on the differential death-rate in gambusia,1921,2,3,220,222,5,6,0.7027027027027027,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wherry, ET",Ecological studies in the stockholm cays,1921,2,3,223,228,0,6,0.10810810810810811,omit,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",Human ecology,1921,2,3,228,229,1,6,0.2702702702702703,omit,no,NA,NA,NA,NA,NA,NA,NA
"Ward, HB",Some of the factors controlling the migration and spawning of the alaska red salmon,1921,2,4,235,254,9,6,0.8108108108108109,keep,no,NA,NA,NA,NA,NA,NA,NA
"Arrhenius, O",Influence of soil reaction on earthworms,1921,2,4,255,257,14,6,0.8648648648648649,keep,no,NA,NA,NA,NA,NA,NA,NA
"Moore, B; Taylor, N",Plant composition and soil acidity of a maine bog,1921,2,4,258,261,3,6,0.4594594594594595,keep,no,NA,NA,NA,NA,NA,NA,NA
"Hubbs, CL",An ecological study of the life-history of the fresh-water atherine fish labidesthes sicculus,1921,2,4,262,276,29,6,0.972972973,keep,no,NA,NA,NA,NA,NA,NA,NA
"Baker, FC",The importance of ecology in the interpretation of fossil faunas,1921,2,4,277,280,0,6,0.10810810810810811,keep,no,NA,NA,NA,NA,NA,NA,NA
"Gail, FW",Factors controlling the distribution of douglas fir in semi-arid regions of the northwest,1921,2,4,281,291,10,6,0.8378378378378378,keep,no,NA,NA,NA,NA,NA,NA,NA
"Haasis, FW",Relations between soil type and root form of western yellow pine seedlings,1921,2,4,292,303,16,6,0.8918918918918919,keep,no,NA,NA,NA,NA,NA,NA,NA
"Baker, FS; Korstian, CF; Fetherolf, NJ",Snowshoe rabbits and conifers in the wasatch mountains of utah,1921,2,4,304,310,4,6,0.581081081,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",City street dust and infectious diseases,1922,3,1,1,6,1,12.5,0.090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Cooper, WS",The ecological life history of certain species of ribes and its application to the control of the white pine blister rust,1922,3,1,7,16,9,12.5,0.6212121212121212,keep,no,NA,NA,NA,NA,NA,NA,NA
"Robertson, C",The sunflower and its insect visitors,1922,3,1,17,21,6,12.5,0.4696969696969697,keep,no,NA,NA,NA,NA,NA,NA,NA
"Jewell, ME",The fauna of an acid stream,1922,3,1,22,28,14,12.5,0.7575757575757576,keep,no,NA,NA,NA,NA,NA,NA,NA
"Dice, LR","Some factors affecting the distribution of the prairie vole, forest deer mouse, and prairie deer mouse",1922,3,1,29,47,42,12.5,0.8787878787878788,keep,no,NA,NA,NA,NA,NA,NA,NA
"Jackson, CF","Ecological features of great bay, new hampshire, and a preliminary checklist of its fish",1922,3,1,48,54,3,12.5,0.25757575757575757,keep,no,NA,NA,NA,NA,NA,NA,NA
"Essenberg, CE","The seasonal distribution of the appendicularia in the region of san diego, california",1922,3,1,55,64,4,12.5,0.3484848484848485,keep,no,NA,NA,NA,NA,NA,NA,NA
"Moore, B",Influence of certain soil factors on the growth of tree seedlings and wheat,1922,3,1,65,83,2,12.5,0.15151515151515152,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wolcott, GW",A reaction to a variation in light intensity by the coffee leaf-miner,1922,3,1,NA,NA,NA,12.5,1,omit,no,NA,NA,NA,NA,NA,NA,NA
"Forbes, SA",The humanizing of ecology,1922,3,2,89,92,9,12.5,0.6212121212121212,keep,no,NA,NA,NA,NA,NA,NA,NA
"Ball, GH",Variation in fresh-water mussels,1922,3,2,93,121,29,12.5,0.8333333333333334,keep,no,NA,NA,NA,NA,NA,NA,NA
"Miller, RC",The significance of the gregarious habit,1922,3,2,122,126,101,12.5,0.9393939393939394,keep,no,NA,NA,NA,NA,NA,NA,NA
"Kincer, JB",The relation of climate to the geographic distribution of crops in the united states,1922,3,2,127,133,3,12.5,0.25757575757575757,keep,no,NA,NA,NA,NA,NA,NA,NA
"Harvey, RB",Varietal differences in the resistance of cabbage and lettuce to low temperatures,1922,3,2,134,139,4,12.5,0.3484848484848485,keep,no,NA,NA,NA,NA,NA,NA,NA
"Allen, WE",Observations on surface distribution of marine diatoms between san diego and seattle,1922,3,2,140,145,8,12.5,0.5454545454545454,keep,no,NA,NA,NA,NA,NA,NA,NA
"Colton, HS","Variation in the dog whelk, thais (purpurk auct.) lapillus",1922,3,2,146,157,29,12.5,0.8333333333333334,keep,no,NA,NA,NA,NA,NA,NA,NA
"Gleason, HA",On the relation between species and area,1922,3,2,158,162,529,12.5,0.9696969696969697,keep,yes,0,0,1,0,0,0,0
"Calvert, PP",Methods for expressing the associations of different species,1922,3,2,163,165,2,12.5,0.15151515151515152,omit,no,NA,NA,NA,NA,NA,NA,NA
"Novakovsky, S",The probable effect of the climate of the russian far east on human life and activity,1922,3,3,181,201,2,12.5,0.15151515151515152,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shull, CA",The formation of a new island in the mississippi river,1922,3,3,202,206,12,12.5,0.7272727272727273,keep,no,NA,NA,NA,NA,NA,NA,NA
"Rigg, GB",A bog forest,1922,3,3,207,213,5,12.5,0.3939393939393939,keep,no,NA,NA,NA,NA,NA,NA,NA
"Taylor, WP","A distributional and ecological study of mount rainier, washington",1922,3,3,214,236,9,12.5,0.6212121212121212,keep,no,NA,NA,NA,NA,NA,NA,NA
"Weaver, JE; Crist, JW",Relation of hardpan to root penetration in the great plains,1922,3,3,237,249,18,12.5,0.7878787878787878,keep,no,NA,NA,NA,NA,NA,NA,NA
"Stickney, F",The relation of the nymphs of a dragon fly (libellula pulchella drury) to acid and temperature,1922,3,3,250,254,6,12.5,0.4696969696969697,keep,no,NA,NA,NA,NA,NA,NA,NA
"Rowan, W",Ecological note on the birds observed at the biological station of the university of manitoba,1922,3,3,255,260,0,12.5,0.045454545454545456,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shreve, F",Conditions indirectly affecting vertical distribution on desert mountains,1922,3,4,269,274,45,12.5,0.9090909090909091,keep,no,NA,NA,NA,NA,NA,NA,NA
"Novakovsky, S",The effext of climate on the efficiency of the people of the russian far east,1922,3,4,275,283,3,12.5,0.25757575757575757,keep,no,NA,NA,NA,NA,NA,NA,NA
"Pearson, GA",Preservation of natural areas in the national forests,1922,3,4,284,287,6,12.5,0.4696969696969697,keep,no,NA,NA,NA,NA,NA,NA,NA
"McColloch, JW; Hayes, WP",The reciprocal relation of soil and insects,1922,3,4,288,301,9,12.5,0.6212121212121212,keep,no,NA,NA,NA,NA,NA,NA,NA
"Larsen, JA",Effect of removal of the virgin white pine stand upon the physical factors of site,1922,3,4,302,305,6,12.5,0.4696969696969697,keep,no,NA,NA,NA,NA,NA,NA,NA
"Sanders, NJ; Shelford, VE",A quantitative and seasonal study of a pine-dune animal community,1922,3,4,306,320,11,12.5,0.696969697,keep,no,NA,NA,NA,NA,NA,NA,NA
"Rigg, GB",The sphagnum bogs of mazama dome,1922,3,4,321,324,0,12.5,0.045454545454545456,keep,no,NA,NA,NA,NA,NA,NA,NA
"Kennedy, CH",The ecological relationships of the dragonflies of the bass islands of lake erie,1922,3,4,325,336,3,12.5,0.25757575757575757,keep,no,NA,NA,NA,NA,NA,NA,NA
"Visher, SS",Tropical climates from an ecological viewpoint,1923,4,1,1,10,5,20.75,0.5357142857142857,keep,no,NA,NA,NA,NA,NA,NA,NA
"Nichols, GE",A working basis for the ecological classification of plant communities,1923,4,1,11,23,28,20.75,0.8571428571428571,keep,no,NA,NA,NA,NA,NA,NA,NA
"Pearse, AS",The abundance and migration of turtles,1923,4,1,24,28,16,20.75,0.7142857142857143,keep,no,NA,NA,NA,NA,NA,NA,NA
"McColloch, JW; Hayes, WP",Soil temperature and its influence on white grub activities,1923,4,1,29,36,20,20.75,0.7380952380952381,keep,no,NA,NA,NA,NA,NA,NA,NA
"Gates, FC",Influence of moonlight on movements of leguminous leaflets,1923,4,1,37,39,2,20.75,0.27380952380952384,keep,no,NA,NA,NA,NA,NA,NA,NA
"Dice, LR","Notes on the communities of the vertebrates of, riley county, kansas, with especial reference to amphibians, reptiles, and mammals",1923,4,1,40,53,4,20.75,0.5,keep,no,NA,NA,NA,NA,NA,NA,NA
"Bates, CG",The transect of a mountain valley,1923,4,1,54,62,10,20.75,0.6071428571428571,keep,no,NA,NA,NA,NA,NA,NA,NA
"Larsen, JA","Association of trees, shrubs, and other vegetation in the northern idaho forests",1923,4,1,63,67,3,20.75,0.4166666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Arrhenius, O",Statistical investigations in the constitution of plant associations,1923,4,1,68,73,68,20.75,0.9523809523809523,keep,yes,0,0,1,0,0,0,0
"Allen, WE",Studies on catches of marine phytoplankton made by aid of the kofoid bucket in 1921,1923,4,1,74,80,2,20.75,0.27380952380952384,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, TW",Ecology of business,1923,4,1,81,84,0,20.75,0.083333333,omit,no,NA,NA,NA,NA,NA,NA,NA
"Cooper, WS","The recent ecological history of glacier bay, alaska: i. The interglacial forests of glacier bay",1923,4,2,93,128,74,20.75,0.9761904761904762,keep,no,NA,NA,NA,NA,NA,NA,NA
"Pike, FH",Adaptation considered as a special case under the theorem of le chateleir,1923,4,2,129,134,3,20.75,0.4166666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Fuller, GD",An edaphic limit to forests in the prairie region of illinois,1923,4,2,135,140,5,20.75,0.5357142857142857,keep,no,NA,NA,NA,NA,NA,NA,NA
"Reese, AM",The habitat of the crocodilia of british guiana,1923,4,2,141,146,1,20.75,0.17857142857142858,keep,no,NA,NA,NA,NA,NA,NA,NA
"Crawford, DR",The significance of food supply in the larval development of fishes,1923,4,2,147,153,3,20.75,0.4166666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Nichols, GE",A working basis for the ecological classification of plant communities,1923,4,2,154,179,25,20.75,0.8333333333333334,keep,no,NA,NA,NA,NA,NA,NA,NA
"Phillips, EF",The honey crop from introduced plants,1923,4,2,180,182,0,20.75,0.083333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Hensel, RL",Recent studies on the effect of burning on grassland vegetation,1923,4,2,183,188,12,20.75,0.6785714285714286,keep,no,NA,NA,NA,NA,NA,NA,NA
"Burns, GP",Measurement of solar radiant energy in plant habitats,1923,4,2,189,195,2,20.75,0.27380952380952384,keep,no,NA,NA,NA,NA,NA,NA,NA
"Gleason, HA",Age and area,1923,4,2,196,201,1,20.75,0.17857142857142858,omit,no,NA,NA,NA,NA,NA,NA,NA
"Jackson, CF",Proceedings business meetings of the ecological society of america at boston,1923,4,2,202,209,0,20.75,0.083333333,omit,no,NA,NA,NA,NA,NA,NA,NA
"Cooper, WS","The recent ecological history of glacier bay, alaska: ii. The present vegetation cycle",1923,4,3,223,246,124,20.75,1,keep,no,NA,NA,NA,NA,NA,NA,NA
"Dice, LR","Mammal associations and habitats of the flathead lake region, montana",1923,4,3,247,260,3,20.75,0.4166666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Harvey, RB",Cambial temperatures of trees in winter and their relation to sun scald,1923,4,3,261,265,32,20.75,0.9047619047619048,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shreve, EB",Seasonal changes in the water relations of desert plants,1923,4,3,266,292,10,20.75,0.6071428571428571,keep,no,NA,NA,NA,NA,NA,NA,NA
"Bird, H",On the boreal character of bogs and an artificial modification,1923,4,3,293,296,2,20.75,0.27380952380952384,keep,no,NA,NA,NA,NA,NA,NA,NA
"Harshberger, JW","Hemerecology: the ecology of cultivated fields, parks, and gardens",1923,4,3,297,306,2,20.75,0.27380952380952384,keep,no,NA,NA,NA,NA,NA,NA,NA
"Powers, EB",The absorption of oxygen by the herring as affected by the carbon dioxide tension of the sea water,1923,4,3,307,312,6,20.75,0.5714285714285714,keep,no,NA,NA,NA,NA,NA,NA,NA
"Connell, AB",Measuring soil temperature by standard thermometer suspended in iron pipe,1923,4,3,313,316,2,20.75,0.27380952380952384,keep,no,NA,NA,NA,NA,NA,NA,NA
"Walker, B","The molluscan fauna of the big vermilion river, illinois",1923,4,3,317,317,0,20.75,0.083333333,omit,no,NA,NA,NA,NA,NA,NA,NA
"Schaffner, JH",The influence of relative length of daylight on the reversal of sex in hemp,1923,4,4,323,334,30,20.75,0.8809523809523809,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",Disease carriers: biological and geographical,1923,4,4,335,340,0,20.75,0.083333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Allee, WC",Studies in marine ecology: iv. The effect of temperature in limiting the geographical range of invertebrates of the woods hole littoral,1923,4,4,341,354,24,20.75,0.8095238095238095,keep,no,NA,NA,NA,NA,NA,NA,NA
"Cooper, WS","The recent ecological history of glacier bay, alaska: iii. Permanent quadrats at glacier bay: an initial report upon a long-period study",1923,4,4,355,365,56,20.75,0.9285714285714286,keep,no,NA,NA,NA,NA,NA,NA,NA
"Klugh, AB",A common system of classification in plant and animal ecology,1923,4,4,366,377,11,20.75,0.6428571428571429,keep,no,NA,NA,NA,NA,NA,NA,NA
"Haasis, FW",Frost heaving of western yellow pine seedlings,1923,4,4,378,390,21,20.75,0.7619047619047619,keep,no,NA,NA,NA,NA,NA,NA,NA
"Harvey, RB",Relation of the color of bark to the temperature of the cambium in winter,1923,4,4,391,394,23,20.75,0.7857142857142857,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wherry, ET",A soil acidity map of a long island wild garden,1923,4,4,395,401,3,20.75,0.4166666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Cowles, RP; Schwitalla, AM","The hydrogen-ion concentration of a creek, its waterfall, swamp and ponds",1923,4,4,402,416,12,20.75,0.6785714285714286,keep,no,NA,NA,NA,NA,NA,NA,NA
"de Forest, H",Rainfall interception by plants: an experimental note,1923,4,4,417,419,3,20.75,0.4166666666666667,omit,no,NA,NA,NA,NA,NA,NA,NA
"Dice, LR",The effect of the environment in the production of malformations,1923,4,4,420,429,0,20.75,0.083333333,omit,no,NA,NA,NA,NA,NA,NA,NA
"Galtsoff, PS",Seasonal migrations of mackerel in the black sea,1924,5,1,1,5,6,12.75,0.6333333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Humphrey, HB",The phytogeography of the coeur d'alene flood plain of northern idaho,1924,5,1,6,13,1,12.75,0.3333333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Townsend, CHT",An analysis of insect environments and response,1924,5,1,14,25,4,12.75,0.525,keep,no,NA,NA,NA,NA,NA,NA,NA
"Weaver, JE; Kramer, J; Reed, M",Development of root and shoot of winter wheat under field environment,1924,5,1,26,50,31,12.75,0.9,keep,no,NA,NA,NA,NA,NA,NA,NA
"Howell, AB",Theories of distribution - a critique,1924,5,1,51,53,3,12.75,0.4583333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Waksman, SA",Influence of soil reaction upon the distribution of filamentous fungi in the soil,1924,5,1,54,59,10,12.75,0.7,keep,no,NA,NA,NA,NA,NA,NA,NA
"Cook, WC","The distribution of the pale western cutworm, porosagrotis orthogonia morr - a study in physical ecology",1924,5,1,60,69,17,12.75,0.7833333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Johnson, DS",The influence of insolation on the distribution and on the developmental sequence of the flowers of the giant cactus of arizona,1924,5,1,70,82,27,12.75,0.8666666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Show, SB",Some results of experimental forest planting in northern california,1924,5,1,83,94,5,12.75,0.5833333333333334,keep,no,NA,NA,NA,NA,NA,NA,NA
"Plitt, CC",An ecological study of lichens,1924,5,1,95,98,2,12.75,0.4,keep,no,NA,NA,NA,NA,NA,NA,NA
"Livingston, BE",Research methods in ecology,1924,5,1,99,101,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Korstian, CF",Practical forest ecology,1924,5,1,101,104,2,12.75,0.4,omit,no,NA,NA,NA,NA,NA,NA,NA
"Korstian, CF",Ecological relations of roots of crop plants,1924,5,1,104,106,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Meinecke, EP",Mistletoe,1924,5,1,106,106,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Weed, EA",Another factor in mosquito control,1924,5,1,110,111,NA,12.75,0.9833333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Wherry, ET",An improved field method for measuring acidity and alkalinity,1924,5,1,111,111,NA,12.75,1,omit,no,NA,NA,NA,NA,NA,NA,NA
"Novakovsky, S",Arctic or siberian hysteria as a reflex of the geographic environment,1924,5,2,113,127,19,12.75,0.8,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shreve, F",Soil temperature as influenced by altitude and slope exposure,1924,5,2,128,136,33,12.75,0.95,keep,no,NA,NA,NA,NA,NA,NA,NA
"Dodds, GS; Hisaw, FL",Ecological studies of aquatic insects i adaptations of mayfly nymphs to swift streams,1924,5,2,137,NA,27,12.75,0.8666666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Redway, JW",Oscillations of lake levels and changes of climate,1924,5,2,149,152,3,12.75,0.4583333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Weaver, JE; Crist, JW",Direct measurement of water loss from vegetation without disturbing the normal structure of the soil,1924,5,2,153,NA,12,12.75,0.7166666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Metcalf, ZP",The beach pool-leaf hopper complex,1924,5,2,171,174,2,12.75,0.4,keep,no,NA,NA,NA,NA,NA,NA,NA
"Elliott, GRB",Relation between the downward penetration of corn roots and water level in peat soil,1924,5,2,175,178,6,12.75,0.6333333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Burkholder, WH",The effect of varying soil moistures on healthy bean plants and on those infected by a root parasite,1924,5,2,179,187,4,12.75,0.525,keep,no,NA,NA,NA,NA,NA,NA,NA
"Korstian, CF",Natural regeneration of southern white cedar,1924,5,2,188,191,8,12.75,0.6833333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Klugh, AB",Factors controlling the biota of tide-pools,1924,5,2,192,196,27,12.75,0.8666666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Fuller, GD",A text book of ecology,1924,5,2,197,198,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Hubbs, CL",The biology of the seashore,1924,5,2,198,199,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Weaver, JE",Range and pasture management,1924,5,2,199,202,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Townsend, MT",Social life among the insects,1924,5,2,202,205,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Uphof, JCT",Vegetation of the bolivian andes,1924,5,2,205,205,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Fuller, GD",The geobotany and soils of africa,1924,5,2,205,207,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Gager, CS",Transeau's general botany,1924,5,2,207,207,0,12.75,0.15,omit,no,NA,NA,NA,NA,NA,NA,NA
"Grinnell, J",Geography and evolution,1924,5,3,225,229,188,12.75,0.9666666666666667,keep,no,NA,NA,NA,NA,NA,NA,NA
"Shull, CA",Imbibition in relation to absorption and transportation of water in plants,1924,5,3,230,240,13,12.75,0.7333333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Weiss, HB; West, E",Insects and plants of a dry woods in the pine barrens of new jersey,1924,5,3,241,253,1,12.75,0.3333333333333333,keep,no,NA,NA,NA,NA,NA,NA,NA
"Pearse, AS",Amount of food eaten by four species of fresh-water fishes,1924,5,3,254,258,15,12.75,0.75,keep,no,NA,NA,NA,NA,NA,NA,NA
"Conard, HS","Belt transect of cold spring harbor sandspit (long island, ny), 1922",1924,5,3,259,261,0,12.75,0.15,keep,no,NA,NA,NA,NA,NA,NA,NA
"Dodds, GS; Hisaw, FL",Ecological studies of aquatic insects ii size of respiratory organs in relation to environmental conditions,1924,5,3,262,271,32,12.75,0.925,keep,no,NA,NA,NA,NA,NA,NA,NA
